PAC,long,lat
MT4370552745444622MT02,-45.61427604820102,-23.017181230928998
MT435691784532248MT02,-45.62763314885069,-23.028163781433307
MT4376839145337139MT02,-45.60818430236361,-23.02691349266354
MT438127754534237MT02,-45.60384987497173,-23.02645766139193
MT4353472645351632MT02,-45.630983255672675,-23.025515883251387
MT4357620345319985MT02,-45.62694829982411,-23.028390063450615
MT4370958245439436MT02,-45.613882557933664,-23.01765121213367
MT4374270345465555MT02,-45.61063989941181,-23.015304496904946
MT436780214532938MT02,-45.617006323383066,-23.027580214954924
MT4371046945434804MT02,-45.6138269222746,-23.01803695923826
MT4373690645455211MT02,-45.610888894706704,-23.016009832487725
MT437369824544223MT02,-45.610933003755065,-23.017201484560815
MT4376568345397623MT02,-45.60847937981947,-23.021270577774885
MT4373977645444553MT02,-45.610659412002235,-23.016994328425483
MT437666845391897MT02,-45.608349684090626,-23.021706108649937
MT436793145390227MT02,-45.617010342453284,-23.022201558654956
MT4370551845444634MT02,-45.61427730994984,-23.0171795995588
MT4367298645398558MT02,-45.617411576782786,-23.02128846888769
MT4374920345456959MT02,-45.610234026379146,-23.016255798865984
MT4354443645348091MT02,-45.630336184467296,-23.025803092538638
MT4357205745324795MT02,-45.627624929047215,-23.028158935886154
MT4357205745324795MT02,-45.627588346425,-23.027677529694188
MT4353783645350271MT02,-45.63095696039534,-23.025527820852233
MT4375998645414382MT02,-45.608857905367984,-23.020243236336228
MT4370732845442127MT02,-45.61427517495929,-23.017182318209393
MT4371889145298413MT02,-45.61267066122201,-23.03038122901046
MT4374332345460116MT02,-45.61032989770655,-23.015636121909438
MT437336764544403MT02,-45.61178399353645,-23.017424747554003
MT4375673245420685MT02,-45.60906381414367,-23.0196338862948
MT4373480345444887MT02,-45.61151781669383,-23.017238972800328
MT4371202445436003MT02,-45.6138724603457,-23.017662542692165
MT4371526545438572MT02,-45.613115930855486,-23.017590771396954
MT4371786545440472MT02,-45.61280067980749,-23.017365081133562
MT4376668145391888MT02,-45.608328901657444,-23.02196796694807
