voltage_list,tap,reg_voltage,vreg,ptratio,v_base,patamar
"[0.9668999910354614, 0.9636099934577942, 0.9636200070381165, 0.9585199952125549, 0.965149998664856]",0,0.97037,123.0,63.496,7967.433714816837,1
"[0.9669100046157837, 0.9636300206184387, 0.9636300206184387, 0.9585300087928772, 0.9651700258255005]",0,0.97038,123.0,63.496,7967.433714816837,2
"[0.9669299721717834, 0.9636399745941162, 0.9636499881744385, 0.958549976348877, 0.965179979801178]",0,0.97039,123.0,63.496,7967.433714816837,3
"[0.973110020160675, 0.9698200225830078, 0.9698299765586853, 0.9647300243377686, 0.9713699817657471]",0,0.97658,123.0,63.496,7967.433714816837,4
"[0.9793000221252441, 0.9760100245475769, 0.9760100245475769, 0.9709100127220154, 0.9775500297546387]",0,0.98276,123.0,63.496,7967.433714816837,5
"[0.9793099761009216, 0.9760199785232544, 0.9760299921035767, 0.9709299802780151, 0.9775599837303162]",0,0.98278,123.0,63.496,7967.433714816837,6
"[0.9793300032615662, 0.9760400056838989, 0.9760400056838989, 0.9709399938583374, 0.9775800108909607]",0,0.98279,123.0,63.496,7967.433714816837,7
"[0.9793400168418884, 0.9760500192642212, 0.9760599732398987, 0.9709600210189819, 0.977590024471283]",0,0.9828,123.0,63.496,7967.433714816837,8
"[0.9793499708175659, 0.976069986820221, 0.976069986820221, 0.9709799885749817, 0.9776099920272827]",0,0.98281,123.0,63.496,7967.433714816837,9
"[0.9793699979782104, 0.9760800004005432, 0.9760900139808655, 0.9710000157356262, 0.977620005607605]",0,0.98283,123.0,63.496,7967.433714816837,10
"[0.9793800115585327, 0.9761000275611877, 0.9761000275611877, 0.9710100293159485, 0.9776399731636047]",0,0.98284,123.0,63.496,7967.433714816837,11
"[0.9793999791145325, 0.9761099815368652, 0.9761199951171875, 0.9710299968719482, 0.9776600003242493]",0,0.98285,123.0,63.496,7967.433714816837,12
"[0.9794099926948547, 0.9761300086975098, 0.9761300086975098, 0.9710500240325928, 0.9776700139045715]",0,0.98286,123.0,63.496,7967.433714816837,13
"[0.979420006275177, 0.976140022277832, 0.9761499762535095, 0.9710599780082703, 0.9776899814605713]",0,0.98288,123.0,63.496,7967.433714816837,14
"[0.9794399738311768, 0.9761599898338318, 0.9761599898338318, 0.9710800051689148, 0.9776999950408936]",0,0.98289,123.0,63.496,7967.433714816837,15
"[0.979449987411499, 0.976170003414154, 0.9761800169944763, 0.9710999727249146, 0.9777200222015381]",0,0.9829,123.0,63.496,7967.433714816837,16
"[0.9794700145721436, 0.9761899709701538, 0.9761899709701538, 0.9711199998855591, 0.9777299761772156]",0,0.98291,123.0,63.496,7967.433714816837,17
"[0.9794800281524658, 0.9761999845504761, 0.9762099981307983, 0.9711300134658813, 0.9777500033378601]",0,0.98293,123.0,63.496,7967.433714816837,18
"[0.9794999957084656, 0.9762200117111206, 0.9762200117111206, 0.9711499810218811, 0.9777699708938599]",0,0.98294,123.0,63.496,7967.433714816837,19
"[0.9795100092887878, 0.9762300252914429, 0.9762399792671204, 0.9711700081825256, 0.9777799844741821]",0,0.98295,123.0,63.496,7967.433714816837,20
"[0.9795200228691101, 0.9762499928474426, 0.9762499928474426, 0.9711899757385254, 0.9778000116348267]",0,0.98297,123.0,63.496,7967.433714816837,21
"[0.9795399904251099, 0.9762600064277649, 0.9762700200080872, 0.9711999893188477, 0.9778100252151489]",0,0.98298,123.0,63.496,7967.433714816837,22
"[0.9795500040054321, 0.9762799739837646, 0.9762799739837646, 0.9712200164794922, 0.9778299927711487]",0,0.98299,123.0,63.496,7967.433714816837,23
"[0.9795600175857544, 0.9762899875640869, 0.9763000011444092, 0.9712399840354919, 0.9778500199317932]",0,0.983,123.0,63.496,7967.433714816837,24
"[0.9795799851417542, 0.9763100147247314, 0.9763100147247314, 0.9712600111961365, 0.9778599739074707]",0,0.98302,123.0,63.496,7967.433714816837,25
"[0.9795899987220764, 0.9763200283050537, 0.9763299822807312, 0.9712700247764587, 0.9778800010681152]",0,0.98303,123.0,63.496,7967.433714816837,26
"[0.979610025882721, 0.9763399958610535, 0.9763500094413757, 0.9712899923324585, 0.9778900146484375]",0,0.98304,123.0,63.496,7967.433714816837,27
"[0.9796199798583984, 0.9763500094413757, 0.976360023021698, 0.971310019493103, 0.9779099822044373]",0,0.98305,123.0,63.496,7967.433714816837,28
"[0.9796299934387207, 0.9763699769973755, 0.9763799905776978, 0.9713199734687805, 0.9779199957847595]",0,0.98307,123.0,63.496,7967.433714816837,29
"[0.9796500205993652, 0.9763799905776978, 0.97639000415802, 0.971340000629425, 0.977940022945404]",0,0.98308,123.0,63.496,7967.433714816837,30
